name,Headquarters,Employees,Industry,Founded At,Status,Total Funding,Funding Rounds,Number of Acquisitions,FY 2022-23 Revenue,Profit_Loss,Latest Funding Round,FY 2022-23 Expenses,Net Cash Flow From Operations
Artium Academy,Mumbai,209,EdTech,2020,1,43.83,3,0,7.49,-17.73,Series A,25.22,-15.25
Arzooo,Bengaluru,516,E-commerce,2018,1,703.43,10,0,1118.23,-62.98,Series B,,-82.53
Assert AI,Mumbai,62,SaaS,2018,1,53.53,3,0,5.92,-4.59,Series A,10.52,-4.89
Assetplus,Chennai,65,Fintech,2016,1,31.37,2,0,6.1,-7.78,Series A,13.88,-7.87
Astrome,Bengaluru,46,Deeptech,2015,1,36.43,7,0,0.4772,-6.67,Series A,,-3.5
Astrotalk,Noida,713,Astrology,2017,1,367.32,3,0,283.97,8.47,Series A,268.67,36.08
Ather Energy,Bengaluru,2685,Automotive Tech,2013,1,4871.61,21,0,1789.1,-1059.7,Series G,,-267.6
Atlys,Gurugram,121,Visa booking,2022,1,298.53,3,0,4.18,0.3749,Series B,3.7,12.23
Atomberg Technologies,Mumbai,472,"Consumer Tech,",2012,1,1022.41,9,0,649.04,-138.35,Series C,787.39,-100.01
Attero,ROORKEE,189,Cleantech,2008,1,202.15,3,0,288.86,20.93,Series C,281.19,10.1
AuditCue,Chennai,10,SaaS,2022,1,12.49,1,0,0.1384,-0.6858,Seed,0.8242,-0.9038
Aulerth,Gurugram,9,Beauty & Wellness,2021,1,8.25,1,0,1.02,-3.3,Seed,4.33,-6
Auric,Delhi,58,"Food & Beverages,",2017,1,23.21,5,0,17.06,-8.22,Seed,25.33,-77.995
AuthBridge,Gurugram,1246,HR Tech,2005,1,75.29,6,1,159.65,-2.85,Series B,160.77,9.29
Automovill,Bengaluru,48,Automotive Tech,2015,1,10.24,7,0,8.25,-2.24,pre-Series A,10.84,-75.86182381
Auxilo,Mumbai,263,Fintech,2017,1,1389.92,9,0,367.32,69.21,Debt Financing,,-1202.12
Avail Finance,Bengaluru,185,Fintech,2017,1,299.47,9,0,11.9,-33.9,Series B,45.78,-20.79
Avanti,Bengaluru,65,Fintech,2017,1,405.91,3,0,113.66,-81.53,Series B,195.2,-230.12
Avataar,Bengaluru,269,Artificial Intelligence/Machine Learning,2014,1,414.53,7,0,17.98,-63.49,Series B,81.41,-64.72
AVIOM India Housing,Delhi,573,Fintech,2016,1,584.31,10,0,241.9,16.06,Debt Financing,219.91,-305.99
Avishkaar,Delhi,88,Robotics,2010,1,10.91,3,0,6.48,-7.63,Seed,,-133.09
Awaz,Bengaluru,42,HR Tech,2022,1,0.9523,1,0,,-0.5276,Seed,0.5276,-43.73888889
Awfis,Delhi,375,Prop Tech,2015,1,704.79,9,0,874.8,-17.56,Series E,,228.39
